Date,Title,Author,Status,Re-read?,Note,Google Books,Img link
9/15/22,A Little Life,Hanya Yanagihara,,TRUE,,http://books.google.com/books?id=Lf99BAAAQBAJ&dq=A+Little+Life&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=Lf99BAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
9/10/22,The Three-Body Problem,Cixin Liu,,FALSE,,http://books.google.com/books?id=fo0OzgEACAAJ&dq=The+Three-Body+Problem&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=fo0OzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
8/30/22,Enigma Variations,Andrè Aciman,,FALSE,,http://books.google.com/books?id=0ja_uQEACAAJ&dq=Enigma+Variations&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=0ja_uQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
8/26/22,Young Mungo,Douglas Stuart,Paused,FALSE,,http://books.google.com/books?id=ZA46EAAAQBAJ&pg=PP1&dq=Young+Mungo&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=ZA46EAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
8/2/22,Four Walls and a Roof,Reinier De Graaf,In-progress,FALSE,,http://books.google.com/books?id=G8E6DwAAQBAJ&printsec=frontcover&dq=Four+Walls+and+a+Roof&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=G8E6DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
8/1/22,The Idiot,Elif Batuman,,FALSE,,http://books.google.com/books?id=dR6MDAAAQBAJ&pg=PP1&dq=The+Idiot&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=dR6MDAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
7/1/22,Call Me By Your Name,Andre Aciman,,TRUE,,http://books.google.com/books?id=1i3_zgEACAAJ&dq=Call+Me+By+Your+Name&hl=&cd=4&source=gbs_api,http://books.google.com/books/content?id=1i3_zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
7/1/22,I'll Steal You Away,Niccolo Ammaniti,Paused,FALSE,,http://books.google.com/books?id=DD6LWaG7EYkC&printsec=frontcover&dq=I%27ll+Steal+You+Away&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=DD6LWaG7EYkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
6/1/22,Never Let Me Go,Kazuo Ishiguro,,FALSE,,http://books.google.com/books?id=yITEbwAACAAJ&dq=Never+Let+Me+Go&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=yITEbwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
6/1/22,Finistère,Fritz Peters,,FALSE,,http://books.google.com/books?id=PNkfAQAAIAAJ&q=Finist%C3%A8re&dq=Finist%C3%A8re&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=PNkfAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
5/1/22,Faster Higher Farther,Jack Ewing,,FALSE,,http://books.google.com/books?id=PINTswEACAAJ&dq=Faster+Higher+Farther&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=PINTswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
5/1/22,On Living,Kerry Egan,,FALSE,,http://books.google.com/books?id=NIU1DQAAQBAJ&pg=PP1&dq=On+Living&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=NIU1DQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
5/1/22,Flowers for Algernon,Daniel Keyes,,TRUE,,http://books.google.com/books?id=Fgn65IL3q4wC&q=Flowers+for+Algernon&dq=Flowers+for+Algernon&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=Fgn65IL3q4wC&printsec=frontcover&img=1&zoom=1&source=gbs_api
4/1/22,Active Liberty,Stephen Breyer,Paused,FALSE,,http://books.google.com/books?id=obywHwAACAAJ&dq=Active+Liberty&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=obywHwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
4/1/22,Pure Colour,Sheila Heti,Paused,FALSE,,http://books.google.com/books?id=-A4qEAAAQBAJ&pg=PP1&dq=Pure+Colour&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=-A4qEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
4/1/22,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,,FALSE,,http://books.google.com/books?id=-1T4DwAAQBAJ&dq=Drive+Your+Plow+Over+the+Bones+of+the+Dead&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=-1T4DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
4/1/22,War Dances,Sherman Alexie,,FALSE,,http://books.google.com/books?id=PVr6AAAAQBAJ&dq=War+Dances&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=PVr6AAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
4/1/22,Asymmetry,Lisa Halliday,,FALSE,,http://books.google.com/books?id=SDnxyQEACAAJ&dq=Asymmetry&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=SDnxyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
4/1/22,Reel Bay,Jana Larson,Paused,FALSE,,http://books.google.com/books?id=DyRSzQEACAAJ&dq=Reel+Bay&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=DyRSzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
3/1/22,On Living,Kerry Egan,,FALSE,,http://books.google.com/books?id=NIU1DQAAQBAJ&dq=On+Living&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=NIU1DQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
3/1/22,The Plot,Jean Hanff Korelitz,,FALSE,,http://books.google.com/books?id=eoFOEAAAQBAJ&dq=The+Plot&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=eoFOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
3/1/22,And Now You Can Go,Vendela Vida,,FALSE,,https://books.google.com/books?id=ueo_obEnYjAC&pg=PA150&dq=And+Now+You+Can+Go&hl=en&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwjgrYPG7On5AhX5CTQIHXOKBigQ6AF6BAgHEAI#v=onepage&q=And%20Now%20You%20Can%20Go&f=false,http://books.google.com/books/content?id=ueo_obEnYjAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
3/1/22,Project Hail Mary,Andy Weir,,FALSE,,http://books.google.com/books?id=qGe_zQEACAAJ&dq=Project+Hail+Mary&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=qGe_zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
3/1/22,A Little Life,Hanya Yanagihara,,TRUE,,http://books.google.com/books?id=Lf99BAAAQBAJ&dq=A+Little+Life&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=Lf99BAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2/1/22,The Art of Doing Science and Engineering,Richard Hamming,Paused,FALSE,,http://books.google.com/books?id=49QuCOLIJLUC&pg=PP1&dq=The+Art+of+Doing+Science+and+Engineering&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=49QuCOLIJLUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2/1/22,Infomocracy,Malka Older,,TRUE,,http://books.google.com/books?id=fYoUvgAACAAJ&dq=Infomocracy&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=fYoUvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1/1/22,Autonomous,Annalee Newitz,,FALSE,,http://books.google.com/books?id=0sAtDwAAQBAJ&pg=PP1&dq=Autonomous&hl=&cd=6&source=gbs_api,http://books.google.com/books/content?id=0sAtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1/1/22,The Road,Cormac McCarthy,,TRUE,,http://books.google.com/books?id=VcZtDwAAQBAJ&pg=PP1&dq=The+Road&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=VcZtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
12/1/21,Lost And Wanted,Nell Freudenberger,,FALSE,,http://books.google.com/books?id=-LNiDwAAQBAJ&pg=PP1&dq=Lost+And+Wanted&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=-LNiDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
12/1/21,One Flew Over the Cuckoo’s Nest,Ken Kesey,,FALSE,,http://books.google.com/books?id=JDHuAAAAMAAJ&q=One+Flew+Over+the+Cuckoo%E2%80%99s+Nest&dq=One+Flew+Over+the+Cuckoo%E2%80%99s+Nest&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=JDHuAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
